0:0:0:0:0:0:0:1 - - [11/Mar/2017:16:44:02 +0530] "GET /CollaborationFrontEnd/c_user/login.html HTTP/1.1" 200 2859
0:0:0:0:0:0:0:1 - - [11/Mar/2017:16:44:02 +0530] "GET /CollaborationPlatform//getAllUsers HTTP/1.1" 200 2089
0:0:0:0:0:0:0:1 - - [11/Mar/2017:16:44:02 +0530] "GET /CollaborationFrontEnd/resources/Images/login.jpg HTTP/1.1" 200 65727
0:0:0:0:0:0:0:1 - - [11/Mar/2017:16:44:02 +0530] "GET /CollaborationPlatform//getAllUsers HTTP/1.1" 200 2089
0:0:0:0:0:0:0:1 - - [11/Mar/2017:16:44:09 +0530] "POST /CollaborationPlatform//login HTTP/1.1" 200 273
0:0:0:0:0:0:0:1 - - [11/Mar/2017:16:44:09 +0530] "GET /CollaborationFrontEnd/c_admin/adminHome.html HTTP/1.1" 200 1850
0:0:0:0:0:0:0:1 - - [11/Mar/2017:16:44:09 +0530] "GET /CollaborationPlatform//getAllUsers HTTP/1.1" 200 2089
0:0:0:0:0:0:0:1 - - [11/Mar/2017:16:44:12 +0530] "GET /CollaborationPlatform//getAllUsers HTTP/1.1" 200 2089
0:0:0:0:0:0:0:1 - - [11/Mar/2017:16:44:21 +0530] "GET /CollaborationPlatform//getAllUsers HTTP/1.1" 200 2089
0:0:0:0:0:0:0:1 - - [11/Mar/2017:16:44:22 +0530] "GET /CollaborationFrontEnd/c_user/MyProfile.html HTTP/1.1" 200 2135
0:0:0:0:0:0:0:1 - - [11/Mar/2017:16:44:23 +0530] "GET /CollaborationPlatform//getAllUsers HTTP/1.1" 200 2089
0:0:0:0:0:0:0:1 - - [11/Mar/2017:16:44:23 +0530] "GET /CollaborationPlatform//getAllUsers HTTP/1.1" 200 2089
0:0:0:0:0:0:0:1 - - [11/Mar/2017:16:44:28 +0530] "GET /CollaborationPlatform//getAllUsers HTTP/1.1" 200 2089
0:0:0:0:0:0:0:1 - - [11/Mar/2017:16:44:37 +0530] "GET /CollaborationFrontEnd/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:16:44:38 +0530] "GET /CollaborationFrontEnd/c_common/Home.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Mar/2017:16:44:38 +0530] "GET /CollaborationPlatform//getAllUsers HTTP/1.1" 200 2089
